
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.3.1.RELEASE)

2020-07-09 01:22:52.915  INFO [zuul-server,,,] 51852 --- [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-07-09 01:22:52.918  INFO [zuul-server,,,] 51852 --- [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-07-09 01:22:52.921  INFO [zuul-server,,,] 51852 --- [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1594228972920 with initial instances count: 8
2020-07-09 01:22:52.930  INFO [zuul-server,,,] 51852 --- [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ZUUL-SERVER with eureka with status UP
2020-07-09 01:22:52.930  INFO [zuul-server,,,] 51852 --- [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1594228972930, current=UP, previous=STARTING]
2020-07-09 01:22:52.932  INFO [zuul-server,,,] 51852 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/192.168.31.180:zuul-server:80: registering service...
2020-07-09 01:22:52.960  INFO [zuul-server,,,] 51852 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/192.168.31.180:zuul-server:80 - registration status: 204
2020-07-09 01:22:52.960  INFO [zuul-server,,,] 51852 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 80 (http) with context path ''
2020-07-09 01:22:52.961  INFO [zuul-server,,,] 51852 --- [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 80
2020-07-09 01:22:52.986  INFO [zuul-server,,,] 51852 --- [           main] c.sc.zuul.server.ZuulServerApplication   : Started ZuulServerApplication in 6.932 seconds (JVM running for 7.506)
2020-07-09 01:22:53.070  INFO [zuul-server,,,] 51852 --- [gistrationTask1] d.c.b.a.c.r.ApplicationRegistrator       : Application registered itself as 0af0993f3112
2020-07-09 01:22:53.115  INFO [zuul-server,,,] 51852 --- [p-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-09 01:22:53.115  INFO [zuul-server,,,] 51852 --- [p-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-07-09 01:22:53.130  INFO [zuul-server,,,] 51852 --- [p-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 15 ms
2020-07-09 01:27:52.776  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:32:52.789  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:37:52.802  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:42:52.818  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:47:52.834  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:52:52.845  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 01:57:52.854  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:02:52.873  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:07:52.889  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:12:52.901  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:17:52.919  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:22:52.939  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:27:52.956  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:32:52.968  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:37:52.982  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:42:52.994  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:47:53.004  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:52:53.018  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 02:57:53.024  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:02:53.036  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:07:53.049  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:12:53.057  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:17:53.074  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:22:53.082  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:27:53.096  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:32:53.113  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:37:53.128  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:42:53.136  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:47:53.152  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:52:53.162  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 03:57:53.176  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:02:53.193  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:07:53.210  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:12:53.222  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:17:53.235  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:22:53.254  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:27:53.264  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:32:53.279  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:37:53.291  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:42:53.303  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:47:53.319  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:52:53.326  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 04:57:53.338  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:02:53.350  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:07:53.362  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:12:53.371  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:17:53.388  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:22:53.404  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:27:53.419  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:32:53.437  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:37:53.445  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:42:53.456  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:47:53.466  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:52:53.472  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 05:57:53.480  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:02:53.492  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:07:53.498  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:12:53.514  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:17:53.524  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:22:53.534  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-07-09 06:27:53.547  INFO [zuul-server,,,] 51852 --- [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
